Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
RD Berrington,2008-2018,70,45,1116,31,4/40,36.00,5.30,1
DE Budge,2018-2018,1,-,-,-,-,-,-,-
SJ Cameron,2018-2018,2,2,123,3,2/64,41.00,6.77,0
NM Carter,2013-2013,3,3,132,5,3/27,26.40,4.52,0
KJ Coetzer,2008-2018,50,7,203,1,1/35,203.00,6.80,0
FRJ Coleman,2013-2015,16,-,-,-,-,-,-,-
MH Cross,2014-2018,43,-,-,-,-,-,-,-
JH Davey,2010-2017,29,27,1014,47,6/28,21.57,5.07,1
CD de Lange,2016-2017,13,12,371,16,5/60,23.18,4.07,0
GD Drummond,2007-2013,30,29,932,25,4/41,37.28,4.42,1
AC Evans,2009-2018,31,30,1223,43,4/41,28.44,5.12,2
R Flannigan,2010-2010,1,-,-,-,-,-,-,-
HJW Gardiner,2013-2015,11,-,-,-,-,-,-,-
G Goudie,2008-2013,16,16,623,23,5/73,27.08,5.12,0
OJ Hairs,2010-2010,5,-,-,-,-,-,-,-
GM Hamilton,1999-2010,38,6,160,3,2/36,53.33,4.36,0
RM Haq,2006-2015,54,51,1975,60,5/54,32.91,4.50,2
RO Hussain,2006-2010,8,-,-,-,-,-,-,-
MM Iqbal,2009-2014,13,8,270,4,2/35,67.50,6.00,0
MA Jones,2018-2018,5,-,-,-,-,-,-,-
MA Leask,2014-2018,30,27,881,14,4/37,62.92,5.49,1
DR Lockhart,2006-2010,14,-,-,-,-,-,-,-
RT Lyons,2006-2010,25,23,901,20,3/21,45.05,4.94,0
NFI McCallum,2006-2011,43,-,-,-,-,-,-,-
MW Machan,2013-2016,23,16,384,9,3/31,42.66,5.73,0
CS MacLeod,2008-2018,57,26,618,8,2/26,77.25,5.50,0
GI Maiden,2010-2011,7,1,38,0,-,-,4.75,0
PL Mommsen,2010-2017,44,6,130,6,3/26,21.66,5.90,0
HG Munsey,2017-2018,16,-,-,-,-,-,-,-
D Murphy,2013-2013,8,-,-,-,-,-,-,-
JD Nel,2006-2010,19,19,649,14,4/25,46.35,5.33,1
MA Parker,2010-2010,10,10,327,12,4/33,27.25,4.73,1
SM Sharif,2011-2018,36,36,1418,54,5/33,26.25,4.92,2
MQ Sheikh,2008-2010,7,-,-,-,-,-,-,-
RAJ Smith,2016-2016,2,2,97,1,1/34,97.00,6.46,0
CB Sole,2016-2018,11,11,468,18,4/28,26.00,5.37,2
TB Sole,2018-2018,5,5,187,6,4/15,31.16,4.56,1
JH Stander,2009-2012,5,4,166,6,2/25,27.66,6.64,0
RML Taylor,2013-2016,15,15,617,20,3/39,30.85,5.19,0
CD Wallace,2012-2018,22,-,-,-,-,-,-,-
I Wardlaw,2013-2015,22,21,1036,36,4/22,28.77,5.61,2
RR Watson,2006-2010,35,17,528,12,3/18,44.00,5.55,0
MRJ Watt,2016-2018,18,18,693,22,3/21,31.50,4.42,0
DF Watts,2006-2011,36,-,-,-,-,-,-,-
BTJ Wheal,2016-2018,11,11,410,19,3/34,21.57,4.24,0
SG Whittingham,2017-2018,4,4,174,7,3/58,24.85,5.14,0
